isotope       atom fraction

H-1       1.0781235452443745e-08
H-2       7.107266171225202e-09
H-3       1.4487455670826424e-07
He-3       2.1933274827104577e-09
He-4       3.2325516319449607e-06
Li-6       3.671422675915115e-08
Li-7       1.0710385254894786e-08
Be-9       2.5678967427690398e-09
B-10       2.8496513345365905e-09
B-11       3.757461555095237e-10
C-nat       0.01776930230543061
N-14       1.4490002276129851e-12
N-15       1.3682546494564172e-09
O-16       0.08610454521687572
O-17       2.1468883159986492e-08
Ca-46       1.9423959101333335e-26
Ca-48       5.5765381034100415e-31
Ti-47       6.5753621785094384e-24
Ti-48       4.920177871508146e-25
Ti-49       1.5769307640345085e-17
Ti-50       7.600725518878138e-15
Cr-52       2.6790196841879342e-14
Cr-53       4.9394593116626766e-14
Cr-54       9.369597562639635e-14
Mn-55       1.655666343005156e-13
Fe-56       3.505002019336056e-13
Fe-57       9.49274411909829e-13
Fe-58       9.322940115473248e-13
Co-58       1.577258184716378e-20
Co-59       2.099948923245096e-12
Ni-60       4.92590773344086e-15
Ni-61       1.641068837605146e-11
Ni-62       2.6890423950607142e-11
Ni-64       7.094587714821706e-11
Cu-63       2.93052424295833e-13
Cu-65       1.3881727409368054e-10
Ge-70       2.637619157969338e-14
Ge-72       1.595539172787419e-08
Ge-73       3.817215829536401e-08
Ge-74       1.3146122277434826e-07
Ge-76       1.315167023898872e-06
As-75       2.531089201115556e-07
Se-74       5.304524276928105e-15
Se-76       2.6793198198129813e-09
Se-77       2.3898344619457368e-06
Se-78       6.493661623364085e-06
Se-79       1.2575773639656227e-05
Se-80       3.8392439654110584e-05
Se-82       9.714571631064801e-05
Br-79       3.635470066042067e-11
Br-81       5.793890866057671e-05
Kr-80       8.176694878362158e-11
Kr-82       6.387631892552047e-07
Kr-83       0.00014480907257189037
Kr-84       0.0003293397308659022
Kr-85       8.338640785622334e-05
Kr-86       0.0006123476162434976
Rb-85       0.00031878132337750844
Rb-86       2.619838395940042e-08
Rb-87       0.0007988146040700091
