isotope,atom_fraction
H-1,5.45400063214752E-09
H-2,4.21038398409838E-09
H-3,8.2924569427723E-08
He-3,1.34319182369746E-09
He-4,1.74686685768877E-06
Li-6,2.88697079118038E-08
Li-7,5.38454353702406E-09
Be-9,1.49738330116714E-09
B-10,3.67375108315236E-09
B-11,1.70800071150421E-10
C-nat,0.017766575677732
N-14,5.49437631980766E-13
N-15,8.57052175747317E-10
O-16,0.086091514694507
O-17,1.1554266888311E-08
Ca-46,3.86714517087043E-27
Ca-48,1.68267497048315E-31
Ti-47,2.05015738355388E-24
Ti-48,9.26640219046974E-26
Ti-49,1.00138070933497E-17
Ti-50,4.46829732946257E-15
Cr-52,1.48929907001177E-14
Cr-53,2.67731730491809E-14
Cr-54,4.92071418459314E-14
Mn-55,8.63433171249822E-14
Fe-56,1.84595097767636E-13
Fe-57,4.93029886360075E-13
Fe-58,4.92775264906363E-13
Co-58,5.58858625768133E-21
Co-59,1.04345690456098E-12
Ni-60,7.86218306049137E-16
Ni-61,9.66834034240179E-12
Ni-62,1.55704656394602E-11
Ni-64,3.80734550374136E-11
Cu-63,9.45363989518198E-14
Cu-65,7.42336117226438E-11
Ge-70,1.27103392243998E-14
Ge-72,9.32514699729058E-09
Ge-73,2.190099153239E-08
Ge-74,7.50249388262892E-08
Ge-76,8.14742274401293E-07
As-75,1.53068414986341E-07
Se-74,2.39534223217806E-15
Se-76,9.22366216073941E-10
Se-77,1.48321543599271E-06
Se-78,3.89487162845507E-06
Se-79,7.99842372547431E-06
Se-80,2.33789781349583E-05
Se-82,5.98301307672886E-05
Br-79,1.46553743220637E-11
Br-81,3.56810136710831E-05
Kr-80,4.36448452533459E-11
Kr-82,2.43843691321892E-07
Kr-83,9.56549146234859E-05
Kr-84,0.000197448934368
Kr-85,5.34022121683137E-05
Kr-86,0.000380360802455
Rb-85,0.000196115809186
Rb-86,1.50246663661805E-08
Rb-87,0.00049643817639
Sr-84,6.80486747394975E-14
Sr-86,1.64677334550967E-07
Sr-87,2.17121169754753E-09
Sr-88,0.000687449734792
Sr-89,0.000117510528975
Sr-90,0.001106093782174
Y-89,0.000810127260553
Y-90,2.84628592032644E-07
Y-91,0.000174149252629
Zr-90,2.04594703594427E-05
Zr-91,0.001004036047352
