isotope,atom_fraction
H-1,3.31711283059009E-09
H-2,2.77214266738348E-09
H-3,5.38471511762623E-08
He-3,7.82228680434452E-10
He-4,1.13460434753096E-06
Li-6,2.13619865823163E-08
Li-7,2.88936753714121E-09
Be-9,9.6912378557619E-10
B-10,3.60800181666047E-09
B-11,8.70641983149491E-11
C-nat,0.017765041656877
N-14,2.70138220070223E-13
N-15,5.86089796003566E-10
O-16,0.086084172216401
O-17,7.37310059847796E-09
Ca-46,2.94272431155467E-27
Ca-48,1.24792838971142E-31
Ti-47,8.11985902647385E-25
Ti-48,5.73277987014376E-26
Ti-49,6.79675105072792E-18
Ti-50,2.86944512869883E-15
Cr-52,9.18385748557255E-15
Cr-53,1.62232600158502E-14
Cr-54,2.92139251319509E-14
Mn-55,5.08297837561254E-14
Fe-56,1.10020614071328E-13
Fe-57,2.90928085274541E-13
Fe-58,2.94351538847593E-13
Co-58,2.50915050883533E-21
Co-59,5.74212730778811E-13
Ni-60,1.82984275442483E-16
Ni-61,6.24992594853353E-12
Ni-62,9.94665568010991E-12
Ni-64,2.31344535278541E-11
Cu-63,3.84985312645073E-14
Cu-65,4.50604688621928E-11
Ge-70,6.90058216985323E-15
Ge-72,6.05138382697287E-09
Ge-73,1.39916956708346E-08
Ge-74,4.78476965481093E-08
Ge-76,5.50691376986592E-07
As-75,1.01682481464453E-07
Se-74,1.20463738715817E-15
Se-76,4.02948214460648E-10
Se-77,9.98520931397376E-07
Se-78,2.57913808427167E-06
Se-79,5.47994441183757E-06
Se-80,1.56559578420847E-05
Se-82,4.033655757329E-05
Br-79,7.20532864130298E-12
Br-81,2.40257335258104E-05
Kr-80,2.62743924065958E-11
Kr-82,1.17731340844098E-07
Kr-83,6.63924490785301E-05
Kr-84,0.000131748860175
Kr-85,3.67451592791379E-05
Kr-86,0.000257906534157
Rb-85,0.000132255331262
Rb-86,1.02218958916804E-08
Rb-87,0.000336666879865
Sr-84,3.1943958865744E-14
Sr-86,7.79202583889667E-08
Sr-87,1.09436853860465E-09
Sr-88,0.000466197087525
Sr-89,0.000121523963647
Sr-90,0.000755296603043
Y-89,0.000508148715015
Y-90,1.93229176214747E-07
Y-91,0.000178400575718
Zr-90,9.1610344617522E-06
Zr-91,0.000619766940754
Zr-92,0.000840632889319
Zr-93,0.00091179344088
Zr-94,0.000925332676923
Zr-95,0.000233930538456
Zr-96,0.000935689419605
Nb-93,5.49545679376487E-11
Nb-94,3.55904597592392E-11
Nb-95,0.00012646228406
Mo-94,3.82805759334421E-11
Mo-95,0.000587197303693
Mo-96,4.16839343341262E-06
Mo-97,0.000902243232944
Mo-98,0.000881718878615
Mo-99,1.00654990750629E-05
Mo-100,0.000984490682093
Tc-99,0.000927033037662
Ru-98,6.83103105064932E-16
Ru-99,3.21349084674281E-08
Ru-100,1.61598829337674E-05
Ru-101,0.000829561449557
Ru-102,0.000719350795167
Ru-103,8.7942657411078E-05
Ru-104,0.000364400945584
Ru-105,1.8142303512776E-07
Ru-106,8.76069498256409E-05
Rh-103,0.000422165927944
Rh-105,1.38317526473286E-06
Pd-104,3.69584772627336E-05
Pd-105,0.000200539818108
Pd-106,3.87310351366532E-05
