isotope       atom fraction

H-1       1.4039761314610683e-08
H-2       8.575872266426048e-09
H-3       1.7809450461743885e-07
He-3       2.403414454964853e-09
He-4       4.1936188654818196e-06
Li-6       3.7024814426859424e-08
Li-7       1.3328754919071045e-08
Be-9       3.1081994308479828e-09
B-10       2.3048449742374247e-09
B-11       4.931884902411149e-10
C-nat       0.017770521110676857
N-14       2.1979529803730034e-12
N-15       1.618496866254497e-09
O-16       0.08611036021385192
O-17       2.766667140376986e-08
Ca-46       6.52385887434054e-26
Ca-48       1.5542179587800361e-30
Ti-47       1.0258065919017555e-23
Ti-48       1.5385370706399525e-24
Ti-49       1.8358918241640898e-17
Ti-50       9.113288319649272e-15
Cr-52       3.286683228976092e-14
Cr-53       6.121212960079972e-14
Cr-54       1.178486051483799e-13
Mn-55       2.0837389940765826e-13
Fe-56       4.405310855372948e-13
Fe-57       1.199569751430849e-12
Fe-58       1.1696268954232183e-12
Co-58       2.402495795044813e-20
Co-59       2.6646776979670346e-12
Ni-60       9.624827269184251e-15
Ni-61       1.970598293627337e-11
Ni-62       3.251437613231995e-11
Ni-64       8.867360330361813e-11
Cu-63       4.4008176078432486e-13
Cu-65       1.7387503593519712e-10
Ge-70       3.400460624419425e-14
Ge-72       1.9313233081349465e-08
Ge-73       4.6451083814316273e-08
Ge-74       1.6058539228004855e-07
Ge-76       1.5540542372101281e-06
As-75       3.0189438883197693e-07
Se-74       6.961495726347571e-15
Se-76       3.978161279482806e-09
Se-77       2.810690051396711e-06
Se-78       7.786761586397492e-06
Se-79       1.463989182475147e-05
Se-80       4.577254886347508e-05
Se-82       0.00011516630009471945
Br-79       5.045280280858029e-11
Br-81       6.863144541046688e-05
Kr-80       1.0215953092980091e-10
Kr-82       9.205154311653243e-07
Kr-83       0.00016408539561897208
Kr-84       0.00039723309724655243
Kr-85       9.696046152094258e-05
Kr-86       0.0007233610071177548
Rb-85       0.0003782614055513167
Rb-86       3.314188452720647e-08
Rb-87       0.0009433273032391814
Sr-84       2.1208310253035318e-13
Sr-86       6.474842455438619e-07
Sr-87       7.080184768888145e-09
Sr-88       0.0013062070672976353
Sr-89       0.00010505376446006461
Sr-90       0.0020587532633800573
Y-89       0.00165270557872251
Y-90       5.376170669285003e-07
Y-91       0.0001574082842595548
Zr-90       7.859463059079445e-05
Zr-91       0.002084421167284533
Zr-92       0.0023872242108294995
Zr-93       0.002605128524734362
Zr-94       0.0026731639326739356
Zr-95       0.00022050657730212313
Zr-96       0.002724854470551021
Nb-93       5.110332317968168e-10
Nb-94       1.7335476516860038e-10
Nb-95       0.00012332418209752742
Mo-94       6.982661287079576e-10
Mo-95       0.002351441952161815
Mo-96       6.521184755365375e-05
Mo-97       0.0026526714495071096
Mo-98       0.0026157977137067044
Mo-99       9.48084324409288e-06
Mo-100       0.002945705772714228
Tc-99       0.002658783721450344
Ru-98       3.3299330103601394e-14
Ru-99       1.0514017306640498e-07
Ru-100       0.00017041505342447336
Ru-101       0.0024791993505467414
Ru-102       0.002272018799470858
Ru-103       9.941992332667261e-05
Ru-104       0.0012946374096907988
Ru-105       2.5220762105771095e-07
Ru-106       0.0002676738520283595
Rh-103       0.0012237004917067431
Rh-105       1.8791325099053645e-06
Pd-104       0.0004711824921169164
Pd-105       0.0007716670563191295
Pd-106       0.00033717547758288773
Pd-107       0.0003222167834789542
Pd-108       0.00020848486624948481
Pd-110       7.584010613351898e-05
Ag-107       3.9662641787361535e-11
Ag-109       0.0001083063663155715
Ag-111       5.786420540903523e-07
Cd-108       3.630689534281255e-11
Cd-110       2.3687418647154336e-05
Cd-111       3.6454517625012996e-05
Cd-112       1.7609983015739227e-05
Cd-113       1.70410505603087e-07
Cd-114       2.955137954269487e-05
Cd-116       1.230931527711016e-05
In-113       1.0656909854599148e-08
In-115       5.4682276697871984e-06
Sn-112       5.449772610601451e-16
Sn-114       3.820097199379341e-10
