isotope,atom_fraction
H-1,7.92132089162595E-09
H-2,5.64900759545038E-09
H-3,1.13098196520327E-07
He-3,1.82823638009355E-09
He-4,2.42679895199136E-06
Li-6,3.39758401207924E-08
Li-7,8.03038028907948E-09
Be-9,2.02928508752393E-09
B-10,3.34460944652164E-09
B-11,2.67723905264806E-10
C-nat,0.017767987590131
N-14,9.4362934287672E-13
N-15,1.1167675023764E-09
O-16,0.086098265456465
O-17,1.61726574115702E-08
Ca-46,1.48444281755723E-26
Ca-48,4.00865130975246E-31
Ti-47,3.86228690493116E-24
Ti-48,3.32619339583423E-25
Ti-49,1.29895453616446E-17
Ti-50,6.04657602599393E-15
Cr-52,2.07753059315192E-14
Cr-53,3.78608537964238E-14
Cr-54,7.0741188995831E-14
Mn-55,1.24705310343704E-13
Fe-56,2.64891016480052E-13
Fe-57,7.12883048523023E-13
Fe-58,7.05834930358707E-13
Co-58,9.791154810408E-21
Co-59,1.55536052780928E-12
Ni-60,2.19539331755133E-15
Ni-61,1.30532967272341E-11
Ni-62,2.12194737910614E-11
Ni-64,5.40211428974089E-11
Cu-63,1.78321936730211E-13
Cu-65,1.05496232683486E-10
Ge-70,1.92419991928048E-14
Ge-72,1.26167681183474E-08
Ge-73,2.99551388025655E-08
Ge-74,1.02855234599722E-07
Ge-76,1.0681764115997E-06
As-75,2.03356852449863E-07
Se-74,3.77325325741031E-15
Se-76,1.66867607919945E-09
Se-77,1.94533517942741E-06
Se-78,5.19394470937805E-06
Se-79,1.03520940728274E-05
Se-80,3.09162292897977E-05
Se-82,7.86610911694781E-05
Br-79,2.43609337362224E-11
Br-81,4.69282805506817E-05
Kr-80,6.2182318070926E-11
Kr-82,4.14877699320508E-07
Kr-83,0.000121758742234
Kr-84,0.000262805682938
Kr-85,6.88450178509795E-05
Kr-86,0.000497787214233
Rb-85,0.000257932932341
Rb-86,2.02044538319397E-08
Rb-87,0.000649550932285
Sr-84,1.1095284029457E-13
Sr-86,2.84407483035694E-07
Sr-87,3.49394770249098E-09
Sr-88,0.000899459923134
Sr-89,0.000113403766547
Sr-90,0.001437415954296
Y-89,0.001099251791945
Y-90,3.71556782061514E-07
Y-91,0.000168715579031
Zr-90,3.57929813987434E-05
Zr-91,0.001373819192589
Zr-92,0.001633717413104
Zr-93,0.001778526684757
Zr-94,0.001814758559294
Zr-95,0.000229603135059
Zr-96,0.001842869182837
Nb-93,2.23426255243428E-10
Nb-94,9.80370500791349E-11
Nb-95,0.000127576395382
Mo-94,2.43974020637565E-10
Mo-95,0.001489672066518
Mo-96,2.37995397565021E-05
Mo-97,0.001787248162588
Mo-98,0.001753089798943
Mo-99,9.80361406445331E-06
Mo-100,0.001966233986578
Tc-99,0.001820378865134
Ru-98,4.70301372260886E-15
Ru-99,6.73561824642953E-08
Ru-100,6.97541796224462E-05
Ru-101,0.001658490411659
Ru-102,0.001479077153406
Ru-103,9.4452058878653E-05
Ru-104,0.000801901235656
Ru-105,2.20150471807574E-07
Ru-106,0.000180075326643
Rh-103,0.00087120288062
Rh-105,1.66521113336641E-06
Pd-104,0.000183933148224
Pd-105,0.000465662346357
Pd-106,0.000149843901608
Pd-107,0.000168427288262
Pd-108,0.000104001122198
Pd-110,3.72753597997545E-05
Ag-107,1.41437997583092E-11
Ag-109,5.53903876339501E-05
Ag-111,4.30616374540077E-07
Cd-108,1.07476071811708E-11
Cd-110,7.2670099786349E-06
Cd-111,1.89002336694305E-05
Cd-112,9.51459574798625E-06
Cd-113,1.87486309213026E-07
Cd-114,1.62942488178372E-05
Cd-116,7.46848612032815E-06
In-113,4.27939908506841E-09
In-115,3.74883493835071E-06
Sn-112,1.23042863891527E-16
Sn-114,9.01286067814711E-11
Sn-115,2.77365730913591E-07
Sn-116,1.85386424717361E-06
Sn-117,6.41264164192949E-06
Sn-118,7.12795742801246E-06
Sn-119,6.25409990778946E-06
Sn-120,7.10842277276478E-06
Sn-122,9.6244554478894E-06
Sn-123,1.42922194853307E-07
Sn-124,1.46827307033639E-05
Sn-125,9.62109053986256E-08
Sn-126,3.40449571505328E-05
Sb-121,5.91943706865569E-06
Sb-123,6.99035997275297E-06
Sb-124,2.660960173275E-08
Sb-125,1.3063573338235E-05
Sb-126,1.09652348813928E-08
Te-120,8.27001630666623E-19
Te-122,1.19340555627407E-07
Te-123,3.98452400976545E-10
Te-124,9.82425822991524E-08
Te-125,3.03670217337421E-06
Te-126,6.78159016555291E-07
Te-128,0.000161378260663
Te-130,0.00079627183547
Te-132,1.10763677897386E-05
I-127,6.43911528318927E-05
I-129,0.00035225857981
I-130,1.31343273502587E-08
I-131,1.90481986791511E-05
I-135,1.33805112969788E-06
Xe-126,4.22560602836914E-12
Xe-128,9.72258344142871E-07
Xe-129,2.16037099103419E-09
Xe-130,6.35423775179886E-06
Xe-131,0.001080708420413
Xe-132,0.001944407556134
Xe-133,2.75364065354925E-05
Xe-134,0.003218934678892
Xe-135,8.06837646674465E-07
Xe-136,0.004313802996056
Cs-133,0.002606703304929
Cs-134,0.000106862203455
Cs-135,0.001214968250684
Cs-136,6.73488160440203E-07
Cs-137,0.002574345621795
Ba-132,1.26137669841613E-11
Ba-134,2.39360458902394E-05
Ba-135,3.77895541236389E-08
Ba-136,1.40453079909291E-05
Ba-137,5.96871932972979E-05
Ba-138,0.002852823591227
Ba-140,6.51571695970286E-05
La-138,4.4528373579867E-09
La-139,0.002705004091042
La-140,8.69646838016445E-06
Ce-140,0.002665498251938
Ce-141,0.000157715058087
Ce-142,0.002552837493461
Ce-143,6.5194274528784E-06
Ce-144,0.001104999418629
Pr-141,0.002367240079916
Pr-142,5.65993899936459E-08
Pr-143,6.49413607660103E-05
Nd-142,1.56361819399405E-05
Nd-143,0.002503318779391
Nd-144,0.001275036406136
Nd-145,0.001679207331889
Nd-146,0.001411424313375
Nd-147,2.11227099494249E-05
Nd-148,0.000791776500233
Nd-150,0.000325507560997
Pm-147,0.000622437049066
Pm-148,1.91004911687573E-06
Pm-149,2.67508369264169E-06
Pm-151,5.34799383658496E-07
Sm-147,0.000188101996438
Sm-148,0.000114718808981
Sm-149,9.05513119844097E-06
Sm-150,0.0005201320224
Sm-151,4.58064020258429E-05
Sm-152,0.000263502309843
Sm-153,1.19825284270192E-06
Sm-154,4.8861738514209E-05
Eu-151,4.539633796387E-08
Eu-152,1.22889169443815E-07
Eu-153,0.000154400168963
Eu-154,1.46653605024686E-05
Eu-155,3.91096893916804E-06
Eu-156,2.85920782213168E-06
Eu-157,1.7069541815912E-08
Gd-152,2.03500543116955E-09
Gd-154,7.53601163951531E-07
Gd-155,6.859419578779E-08
Gd-156,4.80590715346186E-05
Gd-157,2.05831424001489E-07
Gd-158,1.4574507985744E-05
Gd-160,1.51503619756337E-06
Tb-159,2.39737874262161E-06
Tb-160,2.66831749920394E-08
Dy-160,5.29448270461227E-08
Dy-161,6.14909658866018E-07
Dy-162,5.23958923204476E-07
Dy-163,2.76496311434225E-07
Dy-164,9.53915048223612E-08
Ho-165,1.35025574205467E-07
Er-162,1.30331982225333E-22
Er-164,6.4225908564737E-13
Er-166,3.72668111144971E-08
Er-167,6.505940537733E-09
Er-168,2.20789804332673E-08
Er-170,2.65148386472375E-09
Lu-175,1.064875163995E-10
Lu-176,4.99497860718591E-13
Hf-174,7.27544953174005E-22
Hf-176,2.68336864186451E-12
Hf-177,1.87826437754117E-11
