isotope,atom_fraction
H-1,1.07812354524437E-08
H-2,7.1072661712252E-09
H-3,1.44874556708264E-07
He-3,2.19332748271046E-09
He-4,3.23255163194496E-06
Li-6,3.67142267591512E-08
Li-7,1.07103852548948E-08
Be-9,2.56789674276904E-09
B-10,2.84965133453659E-09
B-11,3.75746155509524E-10
C-nat,0.017769302305431
N-14,1.44900022761299E-12
N-15,1.36825464945642E-09
O-16,0.086104545216876
O-17,2.14688831599865E-08
Ca-46,1.94239591013333E-26
Ca-48,5.57653810341004E-31
Ti-47,6.57536217850944E-24
Ti-48,4.92017787150815E-25
Ti-49,1.57693076403451E-17
Ti-50,7.60072551887814E-15
Cr-52,2.67901968418793E-14
Cr-53,4.93945931166268E-14
Cr-54,9.36959756263964E-14
Mn-55,1.65566634300516E-13
Fe-56,3.50500201933606E-13
Fe-57,9.49274411909829E-13
Fe-58,9.32294011547325E-13
Co-58,1.57725818471638E-20
Co-59,2.0999489232451E-12
Ni-60,4.92590773344086E-15
Ni-61,1.64106883760515E-11
Ni-62,2.68904239506071E-11
Ni-64,7.09458771482171E-11
Cu-63,2.93052424295833E-13
Cu-65,1.38817274093681E-10
Ge-70,2.63761915796934E-14
Ge-72,1.59553917278742E-08
Ge-73,3.8172158295364E-08
Ge-74,1.31461222774348E-07
Ge-76,1.31516702389887E-06
As-75,2.53108920111556E-07
Se-74,5.30452427692811E-15
Se-76,2.67931981981298E-09
Se-77,2.38983446194574E-06
Se-78,6.49366162336409E-06
Se-79,1.25757736396562E-05
Se-80,3.83924396541106E-05
Se-82,9.7145716310648E-05
Br-79,3.63547006604207E-11
Br-81,5.79389086605767E-05
Kr-80,8.17669487836216E-11
Kr-82,6.38763189255205E-07
Kr-83,0.000144809072572
Kr-84,0.000329339730866
Kr-85,8.33864078562233E-05
Kr-86,0.000612347616243
Rb-85,0.000318781323378
Rb-86,2.61983839594004E-08
Rb-87,0.00079881460407
Sr-84,1.59307442265446E-13
Sr-86,4.43547702709522E-07
Sr-87,5.10452481041955E-09
Sr-88,0.001106127108563
Sr-89,0.00010927483357
Sr-90,0.00175557512607
Y-89,0.001380660255292
