isotope       atom fraction

H-1       5.454000632147517e-09
H-2       4.210383984098382e-09
H-3       8.292456942772299e-08
He-3       1.3431918236974618e-09
He-4       1.7468668576887694e-06
Li-6       2.8869707911803815e-08
Li-7       5.384543537024056e-09
Be-9       1.4973833011671428e-09
B-10       3.673751083152356e-09
B-11       1.708000711504208e-10
C-nat       0.017766575677731447
N-14       5.494376319807661e-13
N-15       8.570521757473167e-10
O-16       0.08609151469450708
O-17       1.1554266888311036e-08
Ca-46       3.867145170870432e-27
Ca-48       1.68267497048315e-31
Ti-47       2.0501573835538787e-24
Ti-48       9.266402190469739e-26
Ti-49       1.0013807093349725e-17
Ti-50       4.468297329462565e-15
Cr-52       1.4892990700117674e-14
Cr-53       2.6773173049180854e-14
Cr-54       4.920714184593144e-14
Mn-55       8.634331712498218e-14
Fe-56       1.8459509776763634e-13
Fe-57       4.930298863600754e-13
Fe-58       4.927752649063629e-13
Co-58       5.588586257681329e-21
Co-59       1.043456904560982e-12
Ni-60       7.862183060491372e-16
Ni-61       9.668340342401791e-12
Ni-62       1.5570465639460165e-11
Ni-64       3.8073455037413555e-11
Cu-63       9.453639895181979e-14
Cu-65       7.423361172264376e-11
Ge-70       1.2710339224399767e-14
Ge-72       9.325146997290576e-09
Ge-73       2.190099153239e-08
Ge-74       7.502493882628918e-08
Ge-76       8.147422744012927e-07
As-75       1.5306841498634138e-07
Se-74       2.39534223217806e-15
Se-76       9.223662160739408e-10
Se-77       1.4832154359927053e-06
Se-78       3.8948716284550665e-06
Se-79       7.998423725474313e-06
Se-80       2.3378978134958255e-05
Se-82       5.9830130767288594e-05
Br-79       1.4655374322063724e-11
Br-81       3.568101367108315e-05
Kr-80       4.3644845253345934e-11
Kr-82       2.43843691321892e-07
Kr-83       9.56549146234859e-05
Kr-84       0.00019744893436844988
Kr-85       5.3402212168313674e-05
Kr-86       0.00038036080245457886
Rb-85       0.0001961158091857974
Rb-86       1.5024666366180483e-08
Rb-87       0.0004964381763904857
Sr-84       6.804867473949746e-14
Sr-86       1.6467733455096715e-07
Sr-87       2.1712116975475324e-09
Sr-88       0.0006874497347916798
Sr-89       0.00011751052897537497
Sr-90       0.0011060937821742848
Y-89       0.0008101272605527516
Y-90       2.8462859203264444e-07
Y-91       0.00017414925262907637
Zr-90       2.0459470359442738e-05
Zr-91       0.0010040360473522613
Zr-92       0.0012444350741503555
Zr-93       0.0013525855366147879
Zr-94       0.001376392642536917
Zr-95       0.00023332691592122638
Zr-96       0.0013948890724244693
Nb-93       1.251027951076843e-10
Nb-94       6.634107414742052e-11
Nb-95       0.00012904579019089104
Mo-94       1.200731120345255e-10
Mo-95       0.0010432204703539631
Mo-96       1.1744687361194682e-05
Mo-97       0.001349484611053502
Mo-98       0.0013208760720042206
Mo-99       9.925689883118467e-06
Mo-100       0.0014782594112686563
Tc-99       0.0013822216551022666
Ru-98       7.098364167470268e-16
Ru-99       4.9509322949748226e-08
Ru-100       3.791704471584724e-05
Ru-101       0.0012469449141940942
Ru-102       0.001096972877957365
Ru-103       9.148821640594591e-05
Ru-104       0.0005769558455907567
Ru-105       2.020321205352769e-07
Ru-106       0.00013464382472322978
Rh-103       0.0006573771223835509
Rh-105       1.535340085017016e-06
Pd-104       9.54748608812177e-05
Pd-105       0.0003278314871913321
Pd-106       8.530355223150002e-05
Pd-107       0.00010815319055143645
Pd-108       6.464665930919654e-05
Pd-110       2.31011679417111e-05
Ag-107       6.9324237286364174e-12
Ag-109       3.461924220910156e-05
Ag-111       3.549077507066644e-07
Cd-108       5.034848251219822e-12
Cd-110       3.2877631465707283e-06
