isotope       atom fraction

H-1       7.921320891625953e-09
H-2       5.649007595450383e-09
H-3       1.1309819652032742e-07
He-3       1.8282363800935524e-09
He-4       2.426798951991365e-06
Li-6       3.397584012079244e-08
Li-7       8.030380289079476e-09
Be-9       2.0292850875239266e-09
B-10       3.3446094465216413e-09
B-11       2.677239052648064e-10
C-nat       0.017767987590130707
N-14       9.436293428767197e-13
N-15       1.1167675023764017e-09
O-16       0.08609826545646461
O-17       1.617265741157024e-08
Ca-46       1.4844428175572314e-26
Ca-48       4.008651309752456e-31
Ti-47       3.8622869049311585e-24
Ti-48       3.326193395834234e-25
Ti-49       1.2989545361644637e-17
Ti-50       6.046576025993932e-15
Cr-52       2.0775305931519238e-14
Cr-53       3.7860853796423765e-14
Cr-54       7.074118899583098e-14
Mn-55       1.2470531034370403e-13
Fe-56       2.648910164800522e-13
Fe-57       7.12883048523023e-13
Fe-58       7.058349303587068e-13
Co-58       9.791154810408e-21
Co-59       1.555360527809281e-12
Ni-60       2.195393317551329e-15
Ni-61       1.3053296727234133e-11
Ni-62       2.121947379106144e-11
Ni-64       5.4021142897408884e-11
Cu-63       1.7832193673021125e-13
Cu-65       1.0549623268348618e-10
Ge-70       1.9241999192804754e-14
Ge-72       1.2616768118347444e-08
Ge-73       2.995513880256551e-08
Ge-74       1.028552345997217e-07
Ge-76       1.0681764115997024e-06
As-75       2.033568524498627e-07
Se-74       3.773253257410311e-15
Se-76       1.66867607919945e-09
Se-77       1.9453351794274057e-06
Se-78       5.19394470937805e-06
Se-79       1.0352094072827392e-05
Se-80       3.091622928979769e-05
Se-82       7.866109116947807e-05
Br-79       2.4360933736222442e-11
Br-81       4.692828055068171e-05
Kr-80       6.218231807092603e-11
Kr-82       4.1487769932050825e-07
Kr-83       0.00012175874223371891
Kr-84       0.00026280568293801643
Kr-85       6.884501785097944e-05
Kr-86       0.0004977872142325159
Rb-85       0.0002579329323413188
Rb-86       2.0204453831939712e-08
Rb-87       0.0006495509322849816
Sr-84       1.1095284029456975e-13
Sr-86       2.8440748303569446e-07
Sr-87       3.4939477024909804e-09
Sr-88       0.0008994599231342019
Sr-89       0.00011340376654654812
Sr-90       0.0014374159542957096
Y-89       0.0010992517919448232
Y-90       3.715567820615139e-07
Y-91       0.00016871557903089864
Zr-90       3.579298139874345e-05
Zr-91       0.0013738191925885305
Zr-92       0.001633717413104441
Zr-93       0.001778526684756581
Zr-94       0.001814758559294176
Zr-95       0.00022960313505917472
Zr-96       0.0018428691828372749
Nb-93       2.2342625524342813e-10
Nb-94       9.803705007913492e-11
Nb-95       0.00012757639538173586
Mo-94       2.4397402063756513e-10
Mo-95       0.0014896720665178533
Mo-96       2.3799539756502125e-05
Mo-97       0.0017872481625882963
Mo-98       0.0017530897989429131
Mo-99       9.803614064453307e-06
Mo-100       0.001966233986577856
Tc-99       0.0018203788651335918
Ru-98       4.70301372260886e-15
Ru-99       6.73561824642953e-08
Ru-100       6.975417962244615e-05
Ru-101       0.0016584904116587603
Ru-102       0.0014790771534063324
Ru-103       9.445205887865302e-05
Ru-104       0.0008019012356556386
Ru-105       2.2015047180757425e-07
Ru-106       0.0001800753266425728
Rh-103       0.0008712028806202057
Rh-105       1.6652111333664118e-06
Pd-104       0.00018393314822360887
Pd-105       0.00046566234635686315
Pd-106       0.00014984390160796608
Pd-107       0.00016842728826211304
Pd-108       0.00010400112219804926
Pd-110       3.7275359799754496e-05
Ag-107       1.4143799758309183e-11
Ag-109       5.539038763395012e-05
Ag-111       4.3061637454007705e-07
Cd-108       1.0747607181170765e-11
Cd-110       7.267009978634903e-06
Cd-111       1.890023366943055e-05
Cd-112       9.514595747986246e-06
Cd-113       1.874863092130261e-07
Cd-114       1.629424881783722e-05
Cd-116       7.468486120328147e-06
In-113       4.279399085068405e-09
In-115       3.748834938350712e-06
Sn-112       1.2304286389152724e-16
Sn-114       9.012860678147112e-11
Sn-115       2.7736573091359107e-07
Sn-116       1.8538642471736078e-06
Sn-117       6.4126416419294924e-06
Sn-118       7.127957428012457e-06
Sn-119       6.254099907789459e-06
Sn-120       7.108422772764778e-06
Sn-122       9.624455447889397e-06
Sn-123       1.4292219485330655e-07
Sn-124       1.4682730703363872e-05
Sn-125       9.621090539862562e-08
Sn-126       3.404495715053283e-05
Sb-121       5.919437068655685e-06
Sb-123       6.990359972752966e-06
Sb-124       2.660960173274998e-08
Sb-125       1.3063573338235004e-05
Sb-126       1.0965234881392817e-08
Te-120       8.270016306666231e-19
Te-122       1.1934055562740705e-07
Te-123       3.9845240097654487e-10
Te-124       9.824258229915239e-08
Te-125       3.036702173374213e-06
Te-126       6.781590165552909e-07
Te-128       0.00016137826066319494
Te-130       0.0007962718354702041
Te-132       1.1076367789738552e-05
I-127       6.439115283189266e-05
I-129       0.00035225857981031504
I-130       1.3134327350258722e-08
I-131       1.90481986791511e-05
I-135       1.3380511296978777e-06
Xe-126       4.22560602836914e-12
Xe-128       9.722583441428715e-07
Xe-129       2.1603709910341905e-09
Xe-130       6.354237751798861e-06
Xe-131       0.0010807084204131575
Xe-132       0.0019444075561335216
Xe-133       2.7536406535492528e-05
Xe-134       0.003218934678892368
Xe-135       8.068376466744655e-07
Xe-136       0.004313802996056287
Cs-133       0.0026067033049287907
Cs-134       0.00010686220345546077
Cs-135       0.001214968250683869
Cs-136       6.734881604402034e-07
Cs-137       0.002574345621795065
Ba-132       1.2613766984161347e-11
Ba-134       2.39360458902394e-05
Ba-135       3.7789554123638944e-08
Ba-136       1.4045307990929125e-05
Ba-137       5.9687193297297886e-05
Ba-138       0.002852823591226715
Ba-140       6.515716959702861e-05
La-138       4.4528373579866965e-09
La-139       0.0027050040910424613
La-140       8.696468380164448e-06
Ce-140       0.002665498251938216
Ce-141       0.00015771505808695414
Ce-142       0.0025528374934613773
Ce-143       6.519427452878398e-06
